LATITUDE,LONGITUDE,METEOROLOG_Arm
40.95028,43.78361,Ամասիա
39.83056,44.99194,Անանուն լ/ցք
41.0325,43.87,Աշոցք
40.29444,44.34278,Աշտարակ
40.59444,44.36389,Ապարան
40.47222,44.18111,Արագած բ/լ
39.83139,44.70833,Արարատ
39.72722,45.18833,Արենի
40.62333,43.955,Արթիկ
40.13722,44.0475,Արմավիր
39.95861,44.5375,Արտաշատ
41.24528,44.82556,Բագրատաշեն
40.34861,45.13,Գավառ
40.76278,43.85583,Գյումրի.ՀՕԿ
39.51806,46.33833,Գորիս ք
40.74111,44.86556,Դիլիջան
40.31222,44.48278,Եղվարդ
40.19528,44.51222,"Երևան""Արաբկիր"""
40.18861,44.39861,"Երևան ""Ագրո"""
40.38639,43.89306,Թալին
40.87167,45.14722,Իջևան
40.63611,44.22111,Ծաղկահովիտ
39.20417,46.46222,Կապան
40.49278,44.76111,Հրազդան
40.60111,45.34944,Ճամբարակ
40.2075,45.76444,Մասրիկ
40.13694,45.29694,Մարտունի
38.89778,46.2425,Մեղրի
40.50056,45.27167,Շորժա
39.69306,45.71167,Որոտանի լ/ցք
39.91972,44.82722,Ուրցաձոր
40.90917,44.43472,Պուշկինի լ/ցք
39.83389,45.67111,Ջերմուկ
40.65972,44.89806,Սեմյոնովկա 
40.56528,45.00833,Սևան.լճ.
39.52028,46.02972,Սիսիան
41.00194,44.41278,Ստեփանավան
40.83889,44.43444,Վանաձոր.ՀՕԿ
40.005,45.24194,Վարդենյաց լ/ցք
41.11667,44.27917,Տաշիր
41.06028,44.61028,Օձուն
40.39528,44.68278,Ֆանտան
40.385,44.26028,Ամբերդ
